day,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,year,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,holiday,workingday,temp,humidity_windspeed,season_1,season_2,season_3,season_4,Clear,Few clouds,Partly cloudy,Mist,Cloudy,Broken clouds,Light Snow,Light Rain,Thunderstorm,Scattered clouds,Heavy Rain,Ice Pallets,Snow,Fog,casual,registered,total_count,total_count_smoothed_kalman
1,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,0,1,0,0,0.344167,0.129292681518,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,331,654,985,622.0304242937852
2,1,0,0,0,0,0,0,0,0,0,0,0,2011,1,0,0,0,0,0,0,0,0,0.363478,0.173004766893,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,131,670,801,881.091272881356
3,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,1,0,0,0,0,0,0,1,0.196364,0.108578821357,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,120,1229,1349,1220.2433943502829
4,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,1,0,0,0,0,0,1,0.2,0.09464436876,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,108,1454,1562,1430.6389101694929
5,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,1,0,0,0,0,1,0.226957,0.0816672633,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,82,1518,1600,1509.673336158196
6,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,1,0,0,0,1,0.204348,0.0464181501172,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,88,1518,1606,1498.3810983050946
7,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,1,0,0,1,0.196522,0.084142981296,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,148,1362,1510,1379.469958757088
8,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,0,1,0,0,0.165,0.14296238773199998,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,68,891,959,1130.02877796617
9,1,0,0,0,0,0,0,0,0,0,0,0,2011,1,0,0,0,0,0,0,0,0,0.138333,0.15714674565,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,54,768,822,1051.6163751414217
10,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,1,0,0,0,0,0,0,1,0.150833,0.10781942983899999,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,41,1280,1321,1202.8203474580944
11,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,1,0,0,0,0,0,1,0.169091,0.083827008048,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,43,1220,1263,1235.8446672328614
12,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,1,0,0,0,0,1,0.172727,0.182637594715,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,25,1137,1162,1241.7136542404903
13,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,1,0,0,0,1,0.165,0.14159551699999998,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,38,1368,1406,1327.2962954886098
14,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,1,0,0,1,0.16087,0.068060804648,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,54,1367,1421,1334.175232225339
15,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,0,1,0,0,0.233333,0.07878404625,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,222,1026,1248,1254.2294011874071
16,1,0,0,0,0,0,0,0,0,0,0,0,2011,1,0,0,0,0,0,0,0,0,0.231667,0.09115446375,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,251,953,1204,1180.5129713368824
17,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,1,0,0,0,0,0,1,0,0.175833,0.1042841375,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,117,883,1000,1083.30951282324
18,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,1,0,0,0,0,0,1,0.216667,0.12647117392499999,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,9,674,683,1069.415567132838
19,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,1,0,0,0,0,1,0.292174,0.154516843263,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,78,1572,1650,1441.9371885752737
20,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,1,0,0,0,1,0.261667,0.10546158803199998,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,83,1844,1927,1606.3959985929837
21,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,1,0,0,1,0.1775,0.161460913086,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,75,1468,1543,1450.2508072036776
22,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,0,1,0,0,0.0591304,0.068788,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,93,888,981,1201.356423018049
23,1,0,0,0,0,0,0,0,0,0,0,0,2011,1,0,0,0,0,0,0,0,0,0.0965217,0.10764632520000002,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,150,836,986,1172.8184618504692
24,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,1,0,0,0,0,0,0,1,0.0973913,0.07785703587,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,86,1330,1416,1331.0989625333589
25,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,1,0,0,0,0,0,1,0.223478,0.08007855077199999,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,186,1799,1985,1404.4784257496071
26,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,1,0,0,0,0,1,0.2175,0.253445625,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,34,472,506,897.3363147154627
27,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,1,0,0,0,1,0.195,0.07826293749999999,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,15,416,431,781.530518396781
28,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,1,0,0,1,0.203478,0.09778220190000002,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,38,1129,1167,1016.25524047488
29,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,0,1,0,0,0.196522,0.09474003973499999,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,123,975,1098,1100.2352030278594
30,1,0,0,0,0,0,0,0,0,0,0,0,2011,1,0,0,0,0,0,0,0,0,0.216522,0.0534283101724,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,140,956,1096,1186.4503686086978
31,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,1,0,0,0,0,0,0,1,0.180833,0.11301717,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,42,1459,1501,1363.1159027982342
1,0,1,0,0,0,0,0,0,0,0,0,0,2011,0,0,1,0,0,0,0,0,1,0.192174,0.044143642345000005,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,47,1313,1360,1401.8973397860047
2,0,1,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,1,0,0,0,0,1,0.26,0.204948916436,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,72,1454,1526,1482.5761165597803
3,0,1,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,1,0,0,0,1,0.186957,0.12160704715199999,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,61,1489,1550,1519.8310098933362
4,0,1,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,1,0,0,1,0.211304,0.074813556063,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,88,1620,1708,1526.9169131202282
5,0,1,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,0,1,0,0,0.233333,0.149669291193,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,100,905,1005,1352.9197294673484
6,0,1,0,0,0,0,0,0,0,0,0,0,2011,1,0,0,0,0,0,0,0,0,0.285833,0.0805896194,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,354,1269,1623,1526.8422752818171
7,0,1,0,0,0,0,0,0,0,0,0,0,2011,0,1,0,0,0,0,0,0,1,0.271667,0.0335264463639,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,120,1592,1712,1604.6070963781033
8,0,1,0,0,0,0,0,0,0,0,0,0,2011,0,0,1,0,0,0,0,0,1,0.220833,0.19469905815,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,64,1466,1530,1574.979013852493
9,0,1,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,1,0,0,0,0,1,0.134783,0.093434326937,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,53,1552,1605,1590.3299451793755
10,0,1,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,1,0,0,0,1,0.144348,0.097072371585,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,47,1491,1538,1591.0108216856345
11,0,1,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,1,0,0,1,0.189091,0.0549658122,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,149,1597,1746,1644.7025198775275
12,0,1,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,0,1,0,0,0.2225,0.11066561028899999,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,288,1184,1472,1597.0967379469485
13,0,1,0,0,0,0,0,0,0,0,0,0,2011,1,0,0,0,0,0,0,0,0,0.316522,0.11932553625299999,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,397,1192,1589,1674.5876939633174
15,0,1,0,0,0,0,0,0,0,0,0,0,2011,0,0,1,0,0,0,0,0,1,0.266087,0.09159283415200001,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,140,1675,1815,1925.4113378656948
16,0,1,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,1,0,0,0,0,1,0.318261,0.106627949098,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,218,1897,2115,2123.5676696540804
17,0,1,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,1,0,0,0,1,0.435833,0.11620252,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,259,2216,2475,2330.291671096547
18,0,1,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,1,0,0,1,0.521667,0.136878004975,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,579,2348,2927,2392.30734363556
20,0,1,0,0,0,0,0,0,0,0,0,0,2011,1,0,0,0,0,0,0,0,0,0.285217,0.09104103711,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,639,1173,1812,1731.58373579484
21,0,1,0,0,0,0,0,0,0,0,0,0,2011,0,1,0,0,0,0,0,1,0,0.303333,0.18624683,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,195,912,1107,1463.1208475743872
22,0,1,0,0,0,0,0,0,0,0,0,0,2011,0,0,1,0,0,0,0,0,1,0.182222,0.113061332374,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,74,1376,1450,1550.7788069283215
23,0,1,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,1,0,0,0,0,1,0.221739,0.039813845859000004,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,139,1778,1917,1739.2155732105775
24,0,1,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,1,0,0,0,1,0.295652,0.174693655936,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,100,1707,1807,1749.867912703411
25,0,1,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,1,0,0,1,0.364348,0.24679606578599997,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,120,1341,1461,1703.3881648996555
26,0,1,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,0,1,0,0,0.2825,0.100359712607,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,424,1545,1969,1899.2965819955564
27,0,1,0,0,0,0,0,0,0,0,0,0,2011,1,0,0,0,0,0,0,0,0,0.343478,0.08516864,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,694,1708,2402,2025.5015810870132
28,0,1,0,0,0,0,0,0,0,0,0,0,2011,0,1,0,0,0,0,0,0,1,0.407273,0.253870381704,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,81,1365,1446,1775.2081612654838
1,0,0,1,0,0,0,0,0,0,0,0,0,2011,0,0,1,0,0,0,0,0,1,0.266667,0.11578737500000001,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,137,1714,1851,1854.1229027094373
2,0,0,1,0,0,0,0,0,0,0,0,0,2011,0,0,0,1,0,0,0,0,1,0.335,0.138396483639,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,231,1903,2134,1936.160546862829
3,0,0,1,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,1,0,0,0,1,0.198333,0.071864948082,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,123,1562,1685,1820.3587378790496
4,0,0,1,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,1,0,0,1,0.261667,0.124125855282,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,214,1730,1944,1839.9156667743205
5,0,0,1,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,0,1,0,0,0.384167,0.19876828145699998,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,640,1437,2077,1755.3882624439118
6,0,0,1,0,0,0,0,0,0,0,0,0,2011,1,0,0,0,0,0,0,0,0,0.376522,0.325525673907,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,114,491,605,1349.2491205574145
7,0,0,1,0,0,0,0,0,0,0,0,0,2011,0,1,0,0,0,0,0,0,1,0.261739,0.188188723008,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,244,1628,1872,1687.3590992283316
8,0,0,1,0,0,0,0,0,0,0,0,0,2011,0,0,1,0,0,0,0,0,1,0.2925,0.05077350145,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,316,1817,2133,1840.82817712758
9,0,0,1,0,0,0,0,0,0,0,0,0,2011,0,0,0,1,0,0,0,0,1,0.295833,0.17070805255000002,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,191,1700,1891,1702.1254321544088
11,0,0,1,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,1,0,0,1,0.316522,0.15132915805,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,247,1730,1977,1798.5189258525302
12,0,0,1,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,0,1,0,0,0.329167,0.131269061825,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,724,1408,2132,2044.008658221944
13,0,0,1,0,0,0,0,0,0,0,0,0,2011,1,0,0,0,0,0,0,0,0,0.384348,0.142714114164,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,982,1435,2417,2201.507048813301
14,0,0,1,0,0,0,0,0,0,0,0,0,2011,0,1,0,0,0,0,0,0,1,0.325217,0.068046334182,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,359,1687,2046,2143.5124882179603
15,0,0,1,0,0,0,0,0,0,0,0,0,2011,0,0,1,0,0,0,0,0,1,0.317391,0.120842564468,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,289,1767,2056,2183.030415840579
16,0,0,1,0,0,0,0,0,0,0,0,0,2011,0,0,0,1,0,0,0,0,1,0.365217,0.15772481907400002,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,321,1871,2192,2349.578759303777
17,0,0,1,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,1,0,0,0,1,0.415,0.126358741943,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,424,2320,2744,2673.705862070752
18,0,0,1,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,1,0,0,1,0.54,0.121334055689,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,884,2355,3239,2927.538826908479
19,0,0,1,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,0,1,0,0,0.4725,0.139596776889,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1424,1693,3117,2869.910618654686
20,0,0,1,0,0,0,0,0,0,0,0,0,2011,1,0,0,0,0,0,0,0,0,0.3325,0.09840782375,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1047,1424,2471,2565.1930290555792
21,0,0,1,0,0,0,0,0,0,0,0,0,2011,0,1,0,0,0,0,0,0,1,0.430435,0.212945985153,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,401,1676,2077,2354.6684685120517
22,0,0,1,0,0,0,0,0,0,0,0,0,2011,0,0,1,0,0,0,0,0,1,0.441667,0.14099961225000002,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,460,2243,2703,2421.812376480575
23,0,0,1,0,0,0,0,0,0,0,0,0,2011,0,0,0,1,0,0,0,0,1,0.346957,0.196677336465,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,203,1918,2121,2207.768660929674
24,0,0,1,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,1,0,0,0,1,0.285,0.196451609571,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,166,1699,1865,2080.493606308447
25,0,0,1,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,1,0,0,1,0.264167,0.114208875,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,300,1910,2210,2168.7121579956665
26,0,0,1,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,0,1,0,0,0.265833,0.082605972357,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,981,1515,2496,2215.6428676785526
27,0,0,1,0,0,0,0,0,0,0,0,0,2011,1,0,0,0,0,0,0,0,0,0.253043,0.0910281659,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,472,1221,1693,1982.2164450399916
28,0,0,1,0,0,0,0,0,0,0,0,0,2011,0,1,0,0,0,0,0,0,1,0.264348,0.064122531496,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,222,1806,2028,2038.0064674414216
29,0,0,1,0,0,0,0,0,0,0,0,0,2011,0,0,1,0,0,0,0,0,1,0.3025,0.07131465233199999,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,317,2108,2425,2103.802957284274
30,0,0,1,0,0,0,0,0,0,0,0,0,2011,0,0,0,1,0,0,0,0,1,0.3,0.11180096429599999,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,168,1368,1536,1848.402404411399
31,0,0,1,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,1,0,0,0,1,0.268333,0.199871504118,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,179,1506,1685,1905.404255949923
1,0,0,0,1,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,1,0,0,1,0.3,0.177538365,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,307,1920,2227,2182.8103634383706
2,0,0,0,1,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,0,1,0,0,0.315,0.1288841975,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,898,1354,2252,2416.026834365189
3,0,0,0,1,0,0,0,0,0,0,0,0,2011,1,0,0,0,0,0,0,0,0,0.378333,0.08746224,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1651,1598,3249,2813.270139657197
6,0,0,0,1,0,0,0,0,0,0,0,0,2011,0,0,0,1,0,0,0,0,1,0.390833,0.123858741479,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,413,2395,2808,2618.4582578796285
7,0,0,0,1,0,0,0,0,0,0,0,0,2011,0,0,0,0,1,0,0,0,1,0.4375,0.09786066410400002,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,571,2570,3141,2651.2941594768745
8,0,0,0,1,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,1,0,0,1,0.335833,0.18982206000000001,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,172,1299,1471,2194.424220550995
9,0,0,0,1,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,0,1,0,0,0.3425,0.1167803325,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,879,1576,2455,2460.9785021761104
10,0,0,0,1,0,0,0,0,0,0,0,0,2011,1,0,0,0,0,0,0,0,0,0.426667,0.12585270250000002,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1188,1707,2895,2733.511285977336
11,0,0,0,1,0,0,0,0,0,0,0,0,2011,0,1,0,0,0,0,0,0,1,0.595652,0.232633581144,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,855,2493,3348,2844.5553557558983
12,0,0,0,1,0,0,0,0,0,0,0,0,2011,0,0,1,0,0,0,0,0,1,0.5025,0.203181485793,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,257,1777,2034,2452.154781290358
13,0,0,0,1,0,0,0,0,0,0,0,0,2011,0,0,0,1,0,0,0,0,1,0.4125,0.20529717603899997,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,209,1953,2162,2477.9089881151767
14,0,0,0,1,0,0,0,0,0,0,0,0,2011,0,0,0,0,1,0,0,0,1,0.4675,0.059824161900000006,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,529,2738,3267,2819.5721830551715
15,0,0,0,1,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,1,0,1,0,0.446667,0.15195421875,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,642,2484,3126,2713.807561050338
16,0,0,0,1,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,0,1,0,0,0.430833,0.302750993064,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,121,674,795,2195.850500095842
17,0,0,0,1,0,0,0,0,0,0,0,0,2011,1,0,0,0,0,0,0,0,0,0.456667,0.145551522168,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1558,2186,3744,3078.743939237188
18,0,0,0,1,0,0,0,0,0,0,0,0,2011,0,1,0,0,0,0,0,0,1,0.5125,0.0887350975,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,669,2760,3429,3296.3813176157223
19,0,0,0,1,0,0,0,0,0,0,0,0,2011,0,0,1,0,0,0,0,0,1,0.505833,0.10518230484300001,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,409,2795,3204,3381.400013609979
20,0,0,0,1,0,0,0,0,0,0,0,0,2011,0,0,0,1,0,0,0,0,1,0.595,0.148582351475,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,613,3331,3944,3643.818723214215
21,0,0,0,1,0,0,0,0,0,0,0,0,2011,0,0,0,0,1,0,0,0,1,0.459167,0.132407002414,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,745,3444,4189,3606.0561560326655
22,0,0,0,1,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,1,0,0,1,0.336667,0.160158789743,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,177,1506,1683,2985.349744883784
23,0,0,0,1,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,0,1,0,0,0.46,0.204864649825,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1462,2574,4036,3666.9930786186856
24,0,0,0,1,0,0,0,0,0,0,0,0,2011,1,0,0,0,0,0,0,0,0,0.581667,0.155821831775,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1710,2481,4191,3979.629490972273
25,0,0,0,1,0,0,0,0,0,0,0,0,2011,0,1,0,0,0,0,0,0,1,0.606667,0.143942025111,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,773,3300,4073,4080.895394298133
